			WELL DATA SUMMARY																																			/ca11..aj12~a112~						{GOTO}r11~/fcceinsert3~
			 																																			/rva59..aj59~a59..aj59~						/wgc6~
		Well	51B-16 Drilling																																			/ma59..ak200~a63~						/rff0~a13..aj200~
		 	 	 	 																																	/ca11..aj12~a60~						/rff~c13..c200~
		Sec Azim	 	 																																		/ppr~gp{esc}{esc}{esc}						{GOTO}C3~WELL DATA SUMMARY~
		Elev	3746	KB																																								{GOTO}Q1~/WCS9~/WCHAH1~
	 	Coords:	North	254769	EAST	2363815																																						/PPOMR240~QQ
	 					 																																						{GOTO}A1~/wcs9~
Casing	 	MD	Drift A.	Drift D.	Azim	TVD	SSD	DNS	DEW	N-S	E-W	N-LAM	E-LAM																															{GOTO}D1~/wcs8~
	 	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	____________	_________																															{GOTO}H1~/wcs9~
	 				 																																							{GOTO}P1~/wcs8~
sss	-70bph	7078	10	0	310	6954	-3208	2.9	-3.5	856.5	348.3	255625.5	2364163.3
sss		7115	9	0	311	6990	-3244	6.8	-8.1	860.5	343.7	255629.5	2364158.7
sss		7175	9	0	313	7050	-3304	6.3	-6.9	866.7	336.8	255635.7	2364151.8
sss		7239	9	0	308	7113	-3367	6.3	-7.3	873.0	329.5	255642.0	2364144.5
sss		7380	9	0	308	7252	-3506	13.2	-16.9	886.2	312.6	255655.2	2364127.6
sss		7538	9	0	311	7408	-3662	15.5	-18.8	901.7	293.8	255670.7	2364108.8
sss		7688	9	0	314	7557	-3811	15.6	-17.1	917.3	276.8	255686.3	2364091.8
sss	lc	7863	8	0	319	7730	-3984	18.5	-17.5	935.8	259.2	255704.8	2364074.2
sss		7879	8	0	320	7746	-4000	1.7	-1.4	937.5	257.8	255706.5	2364072.8
sss		8034	7	0	324	7899	-4153	36.3	-31.6	953.7	245.2	255722.7	2364060.2
sss		8194	8	0	328	8058	-4312	17.0	-11.5	970.7	233.7	255739.7	2364048.7
sss		8356	9	0	333	8218	-4472	19.6	-11.1	990.3	222.6	255759.3	2364037.6
sss		8511	9	0	329	8372	-4626	20.3	-11.3	1010.7	211.3	255779.7	2364026.3
sss	-100bph	8648	10	0	333	8507	-4761	19.4	-10.8	1030.1	200.5	255799.1	2364015.5
sss	lc reaming	8760	11	0	336	8617	-4871	18.3	-8.8	1048.4	191.7	255817.4	2364006.7
sss		8767	11	0	336	8624	-4878	38.9	-20.3	1049.6	191.1	255818.6	2364006.1
sss		8891	11	0	338	8746	-5000	21.8	-9.2	1071.4	181.9	255840.4	2363996.9
sss		8923	11	0	339	8777	-5031	27.5	-11.4	1077.1	179.7	255846.1	2363994.7
sss	lc	9083	13	0	342	8934	-5188	30.8	-10.8	1107.9	168.9	255876.9	2363983.9
sss	-130bph	9135	13	0	343	8984	-5238	11.0	-3.4	1118.9	165.5	255887.9	2363980.5
sss		9160	13	0	344	9009	-5263	47.2	-15.8	1124.3	163.9	255893.3	2363978.9
bot=9745''	9740	20	0	354	9565	-5819	160.5	-31.2	1284.8	132.7	256053.8	2363947.7
	TD	9790	20	0	354	9612	-5866	16.6	-1.7	1301.4	130.9	256070.4	2363945.9
