		WELL DATA SUMMARY														
		 														
	Well	BLMN 33-7														
	 	 	 	 												
	Sec Azim	335.0	 													
	Elev	4215.0	KB													
 	Coords:	North	258644.0	EAST			2351584									
 					Course		 									
 	MD	Drift A.	Drift D.	Azim	Length	DH	TVD	SSD	DNS	DEW	N-S	E-W	DSec	Sec	N-LAM	E-LAM
 	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	____________	_________
 				 												
 	5898	11.0	83.0	263	63	12	5876	-1661	-2.3	-11.9	-72.7	-192.6	2.9	15.5	258571	2351391
	5900	11.0	83.2	263	2	0	5878	-1663	0.0	-0.4	-72.7	-192.9	0.1	15.6	258571	2351391
 	5961	10.0	89.0	271	62	11	5938	-1723	-0.6	-11.5	-73.3	-204.0	4.3	19.8	258571	2351380
	6000	10.0	84.7	275	38	7	5977	-1762	0.4	-6.8	-72.9	-210.8	3.2	23.0	258571	2351373
drill break bph	6012	10.0	83.4	277	50	9	5989	-1774	0.6	-8.8	-72.7	-212.9	4.3	24.1	258571	2351371
 	6025	10.0	82.0	278	63	11	6001	-1786	0.9	-11.1	-72.4	-215.1	5.5	25.3	258572	2351369
 	6086	10.3	0.0	283	60	11	6061	-1846	2.0	-10.5	-70.4	-225.6	6.2	31.5	258574	2351358
	6100	10.5	0.0	286	14	3	6075	-1860	0.6	-2.4	-69.8	-228.1	1.6	33.1	258574	2351356
 	6122	11.0	0.0	290	35	7	6097	-1882	1.9	-6.4	-68.6	-232.0	4.4	35.9	258575	2351352
 	6187	11.7	0.0	295	64	13	6161	-1946	4.9	-11.8	-63.6	-243.8	9.4	45.4	258580	2351340
	6200	11.7	0.0	296	13	3	6173	-1958	1.2	-2.4	-62.5	-246.2	2.0	47.4	258582	2351338
 	6218	11.8	0.0	298	30	6	6191	-1976	2.8	-5.6	-60.8	-249.5	5.0	50.3	258583	2351334
	6243	11.4	0.0	299	24	5	6215	-2000	2.4	-4.4	-58.4	-253.9	4.1	54.4	258586	2351330
 	6250	11.3	0.0	300	31	6	6222	-2007	3.1	-5.6	-57.7	-255.1	5.2	55.5	258586	2351329
	6300	12.5	0.0	316	49	10	6271	-2056	6.3	-8.2	-51.4	-263.2	9.2	64.7	258593	2351321
