	Well 43-7															
	Elev  4187 KB			Coords:	North  258211		EAST  2352266									
 																
 					Course		 									
 	MD	Drift A.	Drift D.	Azim	Length	DH	TVD	SSD	DNS	DEW	N-S	E-W	DSec	Sec	N-LAM	E-LAM
 				 												
156F	3392	7.8	0.0	190.0	93.2	11.9	3389.3	797.7	-11.6	-2.6	-19.6	47.1	-11.6	-19.6	258191.3503	2352313.137
106F	3487	8.0	0.0	199.0	94.1	13.0	3483.4	703.6	-12.6	-3.3	-32.3	43.9	-12.6	-32.3	258178.7488	2352309.878
136F	3582	9.5	0.0	227.0	93.9	14.5	3577.3	609.7	-12.1	-7.9	-44.4	36.0	-12.1	-44.4	258166.6285	2352302.007
 	3679	12.0	0.0	240.0	95.3	18.1	3672.6	514.4	-10.8	-14.5	-55.1	21.5	-10.8	-55.1	258155.8665	2352287.463
#Drillbreak	3727	13.1	0.0	242.0	46.9	10.4	3719.4	467.6	-5.1	-9.1	-60.2	12.3	-5.1	-60.2	258150.805	2352278.332
108F	3775	14.3	0.0	244.0	93.5	21.8	3766.1	420.9	-10.2	-19.2	-65.4	2.2	-10.2	-65.4	258145.6323	2352268.215
108F	3871	17.0	0.0	244.0	92.5	25.9	3858.5	328.5	-11.3	-23.2	-76.7	-21.0	-11.3	-76.7	258134.2975	2352244.976
110F	3965	18.3	59.0	239.0	89.6	28.5	3948.1	238.9	-13.6	-25.0	-90.3	-46.0	-13.6	-90.3	258120.7167	2352219.963
110F	4062	20.5	51.0	231.0	91.5	32.2	4039.6	147.4	-18.5	-26.4	-108.7	-72.4	-18.5	-108.7	258102.2592	2352193.603
	4221	23.6	50.3	230.3	147.4	59.7	4187.0	0.0	-37.9	-46.2	-146.6	-118.6	-37.9	-146.6	258064.4063	2352147.431
254F	4292	25.0	50.0	230.0	212.1	88.9	4251.7	-64.7	-56.6	-68.6	-165.3	-141.0	-56.6	-165.3	258045.6841	2352124.972
248F	4483	27.0	0.0	229.0	171.7	83.7	4423.4	-236.4	-54.4	-63.7	-219.7	-204.7	-54.4	-219.7	257991.3066	2352061.304
"50#,28F"	4614	27.0	0.0	226.1	116.7	59.5	4540.1	-353.1	-40.1	-43.9	-259.8	-248.6	-40.1	-259.8	257951.1676	2352017.419
300F	4664	27.0	0.0	225.0	161.3	82.2	4584.7	-397.7	-56.0	-60.1	-275.7	-264.8	-56.0	-275.7	257935.2652	2352001.207
"130#,25F"	4675	27.1	0.0	225.0	9.8	5.0	4594.5	-407.5	-3.5	-3.5	-279.3	-268.3	-3.5	-279.3	257931.7279	2351997.67
"30#,15F"	4783	28.1	0.0	225.0	95.7	50.0	4690.2	-503.2	-35.4	-35.4	-314.6	-303.7	-35.4	-314.6	257896.3536	2351962.295
"30#,6F"	4872	28.9	0.0	225.0	78.2	42.5	4768.4	-581.4	-30.0	-30.0	-344.7	-333.7	-30.0	-344.7	257866.3292	2351932.271
"139#,7F"	4950	29.6	0.0	225.0	68.0	38.1	4836.5	-649.5	-27.0	-27.0	-371.6	-360.7	-27.0	-371.6	257839.372	2351905.314
330F	4992	30.0	0.0	225.0	288.3	156.5	4872.9	-685.9	-110.7	-110.7	-386.4	-375.5	-110.7	-386.4	257824.5973	2351890.539
 	5349	29.0	0.0	231.0	310.7	175.8	5183.7	-996.7	-117.6	-130.6	-504.0	-506.1	-117.6	-504.0	257706.9673	2351759.898
	5353	29.0	0.0	231.0	3.5	1.9	5187.1	-1000.1	-1.2	-1.5	-505.3	-507.6	-1.2	-505.3	257705.7466	2351758.391
400F	5603	28.8	0.0	229.0	222.4	122.7	5406.1	-1219.1	-78.8	-94.0	-582.9	-600.1	-78.8	-582.9	257628.1251	2351665.937
TD	5670	28.8	0.0	229.0	58.7	32.2	5464.8	-1277.8	-21.1	-24.3	-604.0	-624.4	-21.1	-604.0	257606.9828	2351641.616
